Date,FB,TWTR,SNAP,S&P 500
2017-3-2,136.76,15.79,24.48,2381.919922
2017-3-3,137.17,15.75,27.09,2383.1201170000000
2017-3-6,137.42,15.56,23.77,2375.310059
2017-3-7,137.3,15.18,21.44,2368.389893
2017-3-8,137.72,15.24,22.81,2362.97998
2017-3-9,138.24,15.22,22.71,2364.8701170000000
2017-3-10,138.79,15.12,22.07,2372.600098
2017-3-13,139.6,15.21,21.09,2373.469971
2017-3-14,139.32,15.32,20.58,2365.449951
2017-3-15,139.72,15.03,20.77,2385.26001
2017-3-16,139.99,15.19,19.89,2381.3798830000000
2017-3-17,139.84,15.08,19.54,2378.25
2017-3-20,139.94,15.09,19.93,2373.469971
2017-3-21,138.51,14.54,20.38,2344.02002
2017-3-22,139.59,14.98,21.82,2348.449951
2017-3-23,139.53,14.93,23.13,2345.959961
2017-3-24,140.34,15.14,22.74,2343.97998
2017-3-27,140.32,14.99,23.83,2341.590088
2017-3-28,141.76,14.94,22.21,2358.570068
2017-3-29,142.65,15.04,22.55,2361.1298830000000
2017-3-30,142.41,14.92,22.23,2368.060059
2017-3-31,142.05,14.95,22.53,2362.719971
2017-4-3,142.28,14.84,22.35,2358.840088
2017-4-4,141.73,14.69,22.14,2360.159912
2017-4-5,141.85,14.53,20.7,2352.949951
2017-4-6,141.17,14.39,20.57,2357.48999
2017-4-7,140.78,14.29,20.82,2355.540039
2017-4-10,141.04,14.36,20.97,2357.159912
2017-4-11,139.92,14.31,20.7,2353.780029
2017-4-12,139.58,14.42,20.22,2344.929932
2017-4-13,139.39,14.3,20.19,2328.949951
2017-4-17,141.42,14.4,19.94,2349.01001
2017-4-18,140.96,14.44,20.55,2342.189941
2017-4-19,142.27,14.54,20.62,2338.169922
2017-4-20,143.8,14.65,21.15,2355.840088
2017-4-21,143.68,14.63,20.93,2348.689941
2017-4-24,145.47,14.71,21.2,2374.149902
2017-4-25,146.49,14.66,21.34,2388.610107
2017-4-26,146.56,15.82,21.58,2387.449951
2017-4-27,147.7,16.61,22.01,2388.77002
2017-4-28,150.25,16.48,22.55,2384.199951
2017-5-1,152.46,17.54,22.21,2388.330078
2017-5-2,152.78,18.24,21.99,2391.169922
2017-5-3,151.8,18.57,21.82,2388.1298830000000
2017-5-4,150.85,18.48,22.59,2389.52002
2017-5-5,150.24,18.69,23.19,2399.290039
2017-5-8,151.06,18.31,22.46,2399.3798830000000
2017-5-9,150.48,18.37,23.32,2396.919922
2017-5-10,150.29,18.54,22.98,2399.6298830000000
2017-5-11,150.04,18.39,18.05,2394.439941
2017-5-12,150.33,18.61,19.14,2390.899902
